station_id;stationname;date;daytype;rides
40010;Austin-Forest Park;01/01/2015;SUNDAY/HOLIDAY;587
40010;Austin-Forest Park;01/02/2015;WEEKDAY;1386
40010;Austin-Forest Park;01/03/2015;SATURDAY;785
40010;Austin-Forest Park;01/04/2015;SUNDAY/HOLIDAY;625
40010;Austin-Forest Park;01/05/2015;WEEKDAY;1752
40010;Austin-Forest Park;01/06/2015;WEEKDAY;1777
40010;Austin-Forest Park;01/07/2015;WEEKDAY;1269
40010;Austin-Forest Park;01/08/2015;WEEKDAY;1435
40010;Austin-Forest Park;01/09/2015;WEEKDAY;1631
40010;Austin-Forest Park;01/10/2015;SATURDAY;771
40010;Austin-Forest Park;01/11/2015;SUNDAY/HOLIDAY;588
40010;Austin-Forest Park;01/12/2015;WEEKDAY;2065
40010;Austin-Forest Park;01/13/2015;WEEKDAY;2108
40010;Austin-Forest Park;01/14/2015;WEEKDAY;2012
40010;Austin-Forest Park;01/15/2015;WEEKDAY;2069
40010;Austin-Forest Park;01/16/2015;WEEKDAY;2003
40010;Austin-Forest Park;01/17/2015;SATURDAY;953
40010;Austin-Forest Park;01/18/2015;SUNDAY/HOLIDAY;706
40010;Austin-Forest Park;01/19/2015;WEEKDAY;1216
40010;Austin-Forest Park;01/20/2015;WEEKDAY;2115
40010;Austin-Forest Park;01/21/2015;WEEKDAY;2132
40010;Austin-Forest Park;01/22/2015;WEEKDAY;2185
40010;Austin-Forest Park;01/23/2015;WEEKDAY;2072
40010;Austin-Forest Park;01/24/2015;SATURDAY;854
40010;Austin-Forest Park;01/25/2015;SUNDAY/HOLIDAY;585
40010;Austin-Forest Park;01/26/2015;WEEKDAY;2095
40010;Austin-Forest Park;01/27/2015;WEEKDAY;2251
40010;Austin-Forest Park;01/28/2015;WEEKDAY;2133
40010;Austin-Forest Park;01/29/2015;WEEKDAY;2083
40010;Austin-Forest Park;01/30/2015;WEEKDAY;2074
40010;Austin-Forest Park;01/31/2015;SATURDAY;953
40020;Harlem-Lake;01/01/2015;SUNDAY/HOLIDAY;1106
40020;Harlem-Lake;01/02/2015;WEEKDAY;3113
40020;Harlem-Lake;01/03/2015;SATURDAY;1818
40020;Harlem-Lake;01/04/2015;SUNDAY/HOLIDAY;1339
40020;Harlem-Lake;01/05/2015;WEEKDAY;3287
40020;Harlem-Lake;01/06/2015;WEEKDAY;3446
40020;Harlem-Lake;01/07/2015;WEEKDAY;2580
40020;Harlem-Lake;01/08/2015;WEEKDAY;2998
40020;Harlem-Lake;01/09/2015;WEEKDAY;3252
40020;Harlem-Lake;01/10/2015;SATURDAY;1849
40020;Harlem-Lake;01/11/2015;SUNDAY/HOLIDAY;1403
40020;Harlem-Lake;01/12/2015;WEEKDAY;3648
40020;Harlem-Lake;01/13/2015;WEEKDAY;3672
40020;Harlem-Lake;01/14/2015;WEEKDAY;3724
40020;Harlem-Lake;01/15/2015;WEEKDAY;3797
