service_date;day_type;bus;rail_boardings;total_rides
01/01/2001;U;06/09/2713;126455;423647
01/02/2001;W;29/10/4037;501952;1282779
01/03/2001;W;23/07/4158;536432;1361355
01/04/2001;W;12/01/4282;550011;1420032
01/05/2001;W;25/11/4337;557917;1448343
01/06/2001;A;12/11/3480;255356;832757
01/07/2001;U;26/12/2928;169825;545656
01/08/2001;W;09/06/4597;590706;1575927
01/09/2001;W;13/09/4578;599905;1578282
01/10/2001;W;07/07/4596;602052;1586936
01/11/2001;W;01/10/4625;607503;1603064
01/12/2001;W;18/11/4689;605252;1624237
01/13/2001;A;591791;270056;861847
01/14/2001;U;373091;174842;547933
01/15/2001;W;675845;412149;1087994
01/16/2001;W;1024367;622163;1646530
01/17/2001;W;1018690;620343;1639033
01/18/2001;W;1006996;618832;1625828
01/19/2001;W;909964;583851;1493815
01/20/2001;A;582348;263815;846163
01/21/2001;U;378381;172107;550488
01/22/2001;W;1005936;598777;1604713
01/23/2001;W;1019983;610352;1630335
01/24/2001;W;991661;606835;1598496
01/25/2001;W;1004257;609877;1614134
01/26/2001;W;965324;597039;1562363
01/27/2001;A;590836;268078;858914
01/28/2001;U;368819;174434;543253
01/29/2001;W;953532;587052;1540584
01/30/2001;W;982046;607858;1589904
01/31/2001;W;999392;610508;1609900
02/01/2001;W;01/06/4787;615268;1669876
02/02/2001;W;25/09/4546;577767;1544468
02/03/2001;A;13/10/3574;263612;875315
02/04/2001;U;10/09/3006;178398;582610
02/05/2001;W;11/09/4763;600588;1646532
02/06/2001;W;04/10/4745;612435;1651828
02/07/2001;W;18/02/4679;609022;1624081
02/08/2001;W;24/02/4659;610237;1617997
02/09/2001;W;10/01/4558;593354;1564180
02/10/2001;A;15/07/3557;271313;876717
02/11/2001;U;13/01/3010;178810;584243
02/12/2001;W;09/05/4288;539393;1411723
02/13/2001;W;1050834;622753;1673587
02/14/2001;W;1004304;610966;1615270
02/15/2001;W;1028938;613323;1642261
02/16/2001;W;1033040;601418;1634458
02/17/2001;A;591717;269294;861011
02/18/2001;U;388788;176855;565643
02/19/2001;W;782447;457891;1240338
02/20/2001;W;1035400;610284;1645684
02/21/2001;W;986212;600133;1586345
02/22/2001;W;986399;606302;1592701
02/23/2001;W;1024235;602352;1626587
02/24/2001;A;505193;246795;751988
02/25/2001;U;351637;172132;523769
02/26/2001;W;1009329;609256;1618585
02/27/2001;W;1000630;609305;1609935
02/28/2001;W;990416;610013;1600429
03/01/2001;W;1051889;618440;1670329
03/02/2001;W;1062234;611578;1673812
03/03/2001;A;678870;286786;965656
03/04/2001;U;07/10/2956;178292;564270
03/05/2001;W;17/01/4263;549759;1412845
03/06/2001;W;12/12/4674;603561;1617091
03/07/2001;W;31/10/4715;616666;1645128
03/08/2001;W;29/06/4640;611371;1612317
03/09/2001;W;14/12/4742;606672;1645040
03/10/2001;A;20/05/3634;283251;916723
03/11/2001;U;05/10/3022;188228;598309
03/12/2001;W;13/07/4581;588857;1568268
03/13/2001;W;28/04/4686;611347;1629032
03/14/2001;W;16/02/4707;619417;1644700
03/15/2001;W;19/03/4530;596612;1557279
03/16/2001;W;923613;583359;1506972
03/17/2001;A;602158;343893;946051
03/18/2001;U;412146;194257;606403
03/19/2001;W;1021700;602469;1624169
03/20/2001;W;1034388;618340;1652728
03/21/2001;W;1029332;616764;1646096
03/22/2001;W;1030741;617815;1648556
03/23/2001;W;1030685;605605;1636290
03/24/2001;A;604139;277028;881167
03/25/2001;U;348817;170742;519559
03/26/2001;W;989316;583176;1572492
03/27/2001;W;1017904;600914;1618818
03/28/2001;W;1007699;601999;1609698
03/29/2001;W;1020098;605027;1625125
03/30/2001;W;978244;590403;1568647
03/31/2001;A;626223;280950;907173
04/01/2001;U;417716;192717;610433
04/02/2001;W;1023629;611098;1634727
04/03/2001;W;1057275;613993;1671268
04/04/2001;W;27/04/4768;625348;1672982
04/05/2001;W;20/04/4564;606535;1579653
04/06/2001;W;05/02/4679;611352;1626398
04/07/2001;A;16/06/3658;297971;940236
04/08/2001;U;22/07/3096;200720;637755
04/09/2001;W;22/03/4633;596418;1594708
04/10/2001;W;07/11/4705;613311;1638128
04/11/2001;W;25/04/4599;606764;1592670
04/12/2001;W;10/06/4615;608691;1600486
04/13/2001;W;21/03/4270;527116;1392822
04/14/2001;A;03/11/3620;279728;908254
04/15/2001;U;03/04/2899;163191;528163
04/16/2001;W;859713;564614;1424327
04/17/2001;W;877834;583859;1461693
04/18/2001;W;907539;599600;1507139
04/19/2001;W;917518;596505;1514023
04/20/2001;W;922082;590659;1512741
04/21/2001;A;603039;293701;896740
04/22/2001;U;384255;185526;569781
04/23/2001;W;979788;590446;1570234
04/24/2001;W;1031150;618513;1649663
04/25/2001;W;977794;609447;1587241
04/26/2001;W;1028140;624617;1652757
04/27/2001;W;1034472;610723;1645195
04/28/2001;A;624970;289747;914717
04/29/2001;U;423377;200002;623379
04/30/2001;W;1008390;600424;1608814
05/01/2001;W;1067496;632996;1700492
05/02/2001;W;1034088;627894;1661982
05/03/2001;W;1065048;634792;1699840
05/04/2001;W;1046692;621087;1667779
05/05/2001;A;30/08/3646;307025;944982
05/06/2001;U;14/10/3043;206450;624210
05/07/2001;W;10/02/4658;598338;1605719
05/08/2001;W;30/05/4759;621604;1665983
05/09/2001;W;17/01/4751;619928;1661252
05/10/2001;W;11/02/4689;614067;1632772
05/11/2001;W;15/01/4649;600295;1604363
05/12/2001;A;01/12/3676;289167;938175
05/13/2001;U;18/02/3056;200996;623266
05/14/2001;W;03/09/4536;581644;1544671
05/15/2001;W;18/02/4735;633053;1668565
05/16/2001;W;20/08/4626;627978;1623862
05/17/2001;W;1006118;628882;1635000
05/18/2001;W;1027834;628829;1656663
05/19/2001;A;645603;315487;961090
05/20/2001;U;427040;217899;644939
05/21/2001;W;958236;590204;1548440
05/22/2001;W;1019568;637152;1656720
05/23/2001;W;978614;619656;1598270
05/24/2001;W;973423;615727;1589150
05/25/2001;W;988982;597892;1586874
05/26/2001;A;512958;269276;782234
05/27/2001;U;390535;208208;598743
05/28/2001;U;392906;191639;584545
05/29/2001;W;1003029;595375;1598404
05/30/2001;W;1002940;607442;1610382
05/31/2001;W;965359;602748;1568107
06/01/2001;W;1057056;611631;1668687
06/02/2001;A;618944;282212;901156
